threads_per_socket,ordered_mean,Speedup_ordered
1,17.466823,1.000000
2,17.508171,0.997638
4,17.613419,0.991677
6,17.709788,0.986281
8,17.954257,0.972851
10,18.114468,0.964247
12,18.303935,0.954266
14,18.514447,0.943416
16,18.60247,0.938952
18,18.825423,0.927832
20,18.966838,0.920914
22,19.201036,0.909681
24,19.374572,0.901533
26,19.539688,0.893915
28,19.687527,0.887202
30,19.883803,0.878445
32,20.07935,0.869890
34,20.257423,0.862243
36,20.428628,0.855017
38,20.607305,0.847603
40,20.775032,0.840760
42,20.940171,0.834130
44,21.09009,0.828200
46,21.267326,0.821299
48,21.440445,0.814667
50,21.590554,0.809003
52,21.788196,0.801664
54,21.953589,0.795625
56,22.130095,0.789279
58,22.304628,0.783103
60,22.465775,0.777486
62,22.616071,0.772319
64,22.801848,0.766027
